Schaal;Periode;TypeResultaat;Versie;Habitattype;Habitatsubtype;Versie;SBZH;nObs;sumWeights;AandeelGunstig;AandeelGunstig_LLCI;AandeelGunstig_ULCI
Vlaanderen Atlantisch;;;;3260;;Versie 2.0;Binnen & Buiten;107;248,4070078;87,69;79,45;92,93
Vlaanderen Atlantisch;;;;3260;;Versie 2.0;binnen_sa;68;169,3290701;84,9;74,04;91,72
Vlaanderen Atlantisch;;;;3260;;Versie 2.0;buiten;39;79,07793768;93,68;82,87;97,84
Vlaanderen Atlantisch;;;;3260;;Versie 3;Binnen & Buiten;107;248,4070078;12,96;7,62;21,21
Vlaanderen Atlantisch;;;;3260;;Versie 3;binnen_sa;68;169,3290701;14,84;8,11;25,59
Vlaanderen Atlantisch;;;;3260;;Versie 3;buiten;39;79,07793768;8,95;3,41;21,53
Vlaanderen;;;;3260;;Versie 2.0;Binnen & Buiten;123;302,1127216;89,02;81,89;93,56
Vlaanderen;;;;3260;;Versie 2.0;binnen_sa;83;208,7295284;86,5;77,16;92,4
Vlaanderen;;;;3260;;Versie 2.0;buiten;40;93,38319313;94,65;85,44;98,16
Vlaanderen;;;;3260;;Versie 3;Binnen & Buiten;123;302,1127216;18,5;12,21;27,03
Vlaanderen;;;;3260;;Versie 3;binnen_sa;83;208,7295284;23,38;15,39;33,86
Vlaanderen;;;;3260;;Versie 3;buiten;40;93,38319313;7,58;2,91;18,32
